Symbol	Open	Low	Volume	Name
DTF	14.25	14.25	13400	Duff & Phelps Utilities Tax-Free Income, Inc.
MFCB	9.31	9.3	3800	MFC Bancorp Ltd.
NKX	15.79	15.79	55800	Nuveen California AMT-Free Quality Municipal Income Fund
DTJ	25.6	25.6	16100	DTE Energy Company
DTK	25.95	25.95	140300	Deutsche Bank AG
DTQ	25.11	25.05	9400	DTE Energy Company
SGF	12.35	12.35	8000	Aberdeen Singapore Fund, Inc.
DECK	64.95	64.93	610400	Deckers Outdoor Corporation
DTV	55.09	54.8	58300	DTE Energy Company
DTY	27.11	27.07	9400	DTE Energy Company
SGU	11.08	11.08	26700	Star Gas Partners, L.P.
IPG	21.21	20.99	13540600	Interpublic Group of Companies, Inc. (The)
IPI	4.06	3.825	1098700	Intrepid Potash, Inc
SGY	28.63	27.97	84100	Stone Energy Corporation
KREF	21.47	21.3	13000	KKR Real Estate Finance Trust Inc.
SSWN	25.49	25.31	7500	Seaspan Corporation
XCO	1.21	1.21	175000	EXCO Resources NL
MIXT	10.05	9.81	113200	MiX Telematics Limited
DUC	9.16	9.09	73600	Duff & Phelps Utility & Corporate Bond Trust, Inc.
NLS	16.9	16.75	60400	Nautilus Group, Inc. (The)
NLY	12.3	12.27	7031800	Annaly Capital Management Inc
DUK	86.99	86.78	2355500	Duke Energy Corporation
JELD	35.64	35.27	196500	JELD-WEN Holding, Inc.
NVRO	90.47	89.77	145600	Nevro Corp.
GEF.B	64	62.025	7500	Greif Bros. Corporation
EURN	8.6	8.5	379400	Euronav NV
SHG	43.79	43.54	48700	Shinhan Financial Group Co Ltd
SHI	62.56	61.92	10200	SINOPEC Shangai Petrochemical Company, Ltd.
SHO	16.68	16.61	1717200	Sunstone Hotel Investors, Inc.
AAC	7.97	7.83	105800	AAC Holdings, Inc.
SHW	384.56	381.42	519000	Sherwin-Williams Company (The)
IQI	12.67	12.61	75900	Invesco Quality Municipal Income Trust
RMAX	66.1	65.95	67500	RE/MAX Holdings, Inc.
CRD.A	9.9	9.64	3900	Crawford & Company
CRD.B	12.06	11.795	13700	Crawford & Company
AAN	41.73	41.48	342400	Aaron's,  Inc.
AAP	86.38	86.2	2100200	Advance Auto Parts Inc
AAT	40.46	40.36	123900	American Assets Trust, Inc.
AAV	5.45	5.4	51700	Advantage Oil & Gas Ltd
MAIN	40.25	39.93	167900	Main Street Capital Corporation
NMI	11.6	11.59	17100	Nuveen Municipal Income Fund, Inc.
NMM	2.1	2.09	259200	Navios Maritime Partners LP
DVA	56.87	56.445	2239600	DaVita Inc.
NMR	5.85	5.79	112500	Nomura Holdings Inc ADR
NMS	15.47	15.29	12400	Nuveen Minnesota Quality Municipal Income Fund
DVD	2	1.975	16200	Dover Motorsports, Inc.
NMT	14.46	14.46	2500	Nuveen Massachusetts Municipal Income Fund
NMY	12.86	12.84	23100	Nuveen Maryland Quality Municipal Income Fund
NMZ	13.67	13.65	100700	Nuveen Municipal High Income Opportunity Fund
JEMD	10.025	10	13300	Nuveen Emerging Markets Debt 2022 Target Term Fund
DVN	35.86	35.185	3160700	Devon Energy Corporation
SID	3.12	3.04	1915100	National Steel Company
ANDV	104.31	103.97	1013200	Andeavor
SIG	60.75	60.75	1061900	Signet Jewelers Limited
ANDX	47.42	47.18	219900	Andeavor Logistics LP
ABB	24.94	24.9	974700	ABB Ltd
ABC	78.89	78.4	1043900	AmerisourceBergen Corporation (Holding Co)
SIX	61.11	59.61	2217900	Six Flags Entertainment Corporation New
ABG	56.85	56.5	171400	Asbury Automotive Group Inc
IRL	13.81	13.55	15700	New Ireland Fund, Inc. (The)
IRM	39.78	39.6	998600	Iron Mountain Incorporated
XEC	115.94	115.25	608900	Cimarex Energy Co
ABM	42.81	42.36	167100	ABM Industries Incorporated
IRR	6.34	6.3	79300	Voya Natural Resources Equity Income Fund
IRS	25.05	24.93	48700	IRSA Inversiones Y Representaciones S.A.
IRT	10.39	10.315	499400	Independence Realty Trust, Inc.
ABR	8.35	8.35	516300	Arbor Realty Trust
ABT	54.59	54.4	5432900	Abbott Laboratories
XEL	48.58	48.37	2808200	Xcel Energy Inc.
ABX	16.14	16.02	7918900	Barrick Gold Corporation
NNA	1.27	1.23	338800	Navios Maritime Acquisition Corporation
NNC	13.32	13.27	14200	Nuveen North Carolina Quality Municipal Income Fd
NNI	51.5	51.11	41200	Nelnet, Inc.
NNN	42.31	42.3	531100	National Retail Properties
NVTA	9.78	9.78	602600	Invitae Corporation
NNY	10.4	10.34	5100	Nuveen New York Municipal Value Fund, Inc.
ANET	188.86	188.86	355100	Arista Networks, Inc.
SJI	32.29	32.04	1348000	South Jersey Industries, Inc.
SJM	105.51	103.63	1171600	J.M. Smucker Company (The)
LKSD	16.01	16	117100	LSC Communications, Inc.
SJR	22	21.91	443300	Shaw Communications Inc.
ADNT	84.45	84.45	472700	Adient plc
ISD	15.15	15.1	107700	Prudential Short Duration High Yield Fund, Inc.
SJT	8.04	7.93	168100	San Juan Basin Royalty Trust
ACC	44	43.46	1468700	American Campus Communities Inc
ISF	25.57	25.56	40600	ING Group, N.V.
BBVA	8.53	8.475	1340300	Banco Bilbao Viscaya Argentaria S.A.
ISG	25.61	25.61	32500	ING Group, N.V.
SJW	62.72	62.46	70100	SJW Group
ACH	22.37	22.345	84100	Aluminum Corporation of China Limited
ACM	35.75	35.6	370900	AECOM
ACN	138.91	138.28	1446700	Accenture plc
ACP	14.75	14.68	58300	Avenue Income Credit Strategies Fund
ACV	22.14	21.95	29700	AllianzGI Diversified Income & Convertible Fund
EHIC	11.33	10.95	93200	eHi Car Services Limited
NOA	4.17	4.05	41700	North American Energy Partners, Inc.
NOC	295.5	293.74	585000	Northrop Grumman Corporation
NOK	5.85	5.82	6370900	Nokia Corporation
DXB	25.5	25.49	49800	Deutsche Bank AG
DXC	91.39	91.17	2411400	DXC Technology Company
ANFI	5.96	5.93	116200	Amira Nature Foods Ltd
NOV	34.94	34.29	3477800	National Oilwell Varco, Inc.
NOW	121.54	121	1084200	ServiceNow, Inc.
VTRB	25.33	25.32	2400	Ventas Realty, Limited Partnership // Ventas Capital Corporati
MFGP	32.5	32	692700	Micro Focus Intl PLC
SKM	26.4	25.9	770000	SK Telecom Co., Ltd.
EMES	7.42	7.13	258000	Emerge Energy Services LP
SKT	24.85	24.85	652500	Tanger Factory Outlet Centers, Inc.
ADC	49.81	49.22	120600	Agree Realty Corporation
ITG	23.6	23.29	156800	Investment Technology Group, Inc.
SKX	24.28	24.28	2259100	Skechers U.S.A., Inc.
CTLT	41.95	41.49	414400	Catalent, Inc.
ADM	43.62	43.4	1271900	Archer-Daniels-Midland Company
ITT	46.71	46.43	501200	ITT Inc.
ADS	228.75	226.52	411400	Alliance Data Systems Corporation
ITW	153.04	152.65	725900	Illinois Tool Works Inc.
ADX	15.47	15.45	88600	Adams Diversified Equity Fund, Inc.
NPK	110.3	109.15	11800	National Presto Industries, Inc.
SPGI	162.76	161.14	857800	S&P Global Inc.
NPN	15.5	15.5	700	Nuveen Pennsylvania Municipal Value Fund
NPO	80.47	78.9	170800	EnPro Industries
NPV	13.25	13.18	33100	Nuveen Virginia Quality Municipal Income Fund
DYN	9.56	9.29	4690900	Dynegy Inc.
SLB	66.88	66.26	6621400	Schlumberger N.V.
SLD	16	15.75	34300	Sutherland Asset Management Corporation
SLF	39.43	39.23	263600	Sun Life Financial Inc.
ITUB	13.97	13.8	6833800	Itau Unibanco Banco Holding SA
SLG	102.81	101.94	923100	SL Green Realty Corporation
AEB	24.53	24.51	26200	Aegon NV
AED	26.33	26.14	210200	Aegon NV
AEE	60.42	60.42	1130300	Ameren Corporation
AEG	5.77	5.76	2307100	Aegon NV
AEH	25.88	25.83	277100	Aegon NV
AEK	26.37	26.37	20300	Aegon NV
AEL	30.17	29.74	212700	American Equity Investment Life Holding Company
AEM	45.07	44.645	1013500	Agnico Eagle Mines Limited
AEO	12.9	12.69	2755700	American Eagle Outfitters, Inc.
AEP	72.84	72.52	1721900	American Electric Power Company, Inc.
AER	52.59	52.35	691200	Aercap Holdings N.V.
AES	11.24	11.18	3623600	The AES Corporation
AET	150.79	150.79	1922700	Aetna Inc.
TISI	12.25	11.9	378100	Team, Inc.
XHR	22.01	21.65	510800	Xenia Hotels & Resorts, Inc.
FAC	1.05	1.05	100	First Acceptance Corporation
FAF	50.72	49.91	822700	First American Corporation (The)
NQP	13.65	13.63	25000	Nuveen Pennsylvania Quality Municipal Income Fund
FAM	11.73	11.67	50300	First Trust/Aberdeen Global Opportunity Income Fund
CORR	36.44	35.83	64200	CorEnergy Infrastructure Trust, Inc.
SMG	100	98.97	233600	Scotts Miracle-Gro Company (The)
SMI	6.49	6.36	691300	Semiconductor  Manufacturing International Corporation
SMM	11.28	11.17	67800	Salient Midstream & MLP Fund
SMP	47.15	46.91	45500	Standard Motor Products, Inc.
IVC	14.5	14.4	354500	Invacare Corporation
AFB	13.85	13.82	48200	Alliance National Municipal Income Fund Inc
AFC	25.74	25.665	15000	Ares Capital Corporation
DRUA	25.66	25.59	45600	Dominion Energy, Inc.
IVH	15.95	15.77	54500	Ivy High Income Opportunities Fund
AFG	104.71	104.02	260000	American Financial Group, Inc.
AFI	15.83	15.57	58100	Armstrong Flooring, Inc.
AFL	84.16	83.45	906800	Aflac Incorporated
IVR	17.67	17.67	346300	INVESCO MORTGAGE CAPITAL INC
AFT	16.81	16.73	46400	Apollo Senior Floating Rate Fund Inc.
IVZ	36.34	36.025	1979400	Invesco Plc
XIN	5.78	5.62	178500	Xinyuan Real Estate Co Ltd
NRE	13.77	13.7	72500	NorthStar Realty Europe Corp.
FBC	35.76	35.47	55300	Flagstar Bancorp, Inc.
VOYA	40	39.36	1750300	Voya Financial, Inc.
NRG	26.55	25.91	6414200	NRG Energy, Inc.
NRK	13.11	13.11	165200	Nuveen New York AMT-Free Quality Municipal
MANU	18.2	18.15	14800	Manchester United Ltd.
FBK	37.95	37.64	34100	FB Financial Corporation
NRP	25.95	25.65	8500	Natural Resource Partners LP
FBM	13.59	13.31	150600	Foundation Building Materials, Inc.
FBP	4.85	4.73	1692800	First BanCorp.
NRT	6.81	6.5	27400	North European Oil Royality Trust
GNRC	50.95	50.1	808000	Generac Holdlings Inc.
FBR	16.75	16.17	1869800	Fibria Celulose S.A.
KMPA	26.94	26.81	10900	Kemper Corporation
NRZ	17.17	17.11	1299700	New Residential Investment Corp.
SNA	151.92	151.46	478700	Snap-On Incorporated
SNE	37.07	36.83	562000	Sony Corp Ord
YUMC	42.5	42.43	1974600	Yum China Holdings, Inc.
YUME	4.41	4.41	92800	YuMe, Inc.
GNRT	4.95	4.89	184500	Gener8 Maritime, Inc.
KMPR	58.85	57.65	109400	Kemper Corporation
SNN	37.55	37.48	1463400	Smith & Nephew SNATS, Inc.
SNP	74.93	74.46	92100	China Petroleum & Chemical Corporation
SNR	8.83	8.81	627100	New Senior Investment Group Inc.
AGC	6.24	6.22	74000	Advent Claymore Convertible Securities and Income Fund II
SNV	45.5	44.98	1385600	Synovus Financial Corp.
AGD	10.87	10.84	43100	Alpine Global Dynamic Dividend Fund
SNX	132.41	130.95	145600	Synnex Corporation
TSLF	17.34	17.28	21000	THL Credit Senior Loan Fund
SNY	49.4	49.21	447200	Sanofi
AGI	6.92	6.89	1569200	Alamos Gold Inc.
AGM	76.4	74.265	38500	Federal Agricultural Mortgage Corporation
AGN	199.01	197.3	5097500	Allergan plc.
AGO	37.32	36.99	884100	Assured Guaranty Ltd.
AGR	47.79	47.63	318700	Avangrid, Inc.
LGF.A	30.49	30.23	323400	Lions Gate Entertainment Corporation
AGU	108.25	106.63	204800	Agrium Inc.
LGF.B	29.66	29.35	314400	Lions Gate Entertainment Corporation
AGX	67.15	65.8	139000	Argan, Inc.
TSLX	20.78	20.62	88800	TPG Specialty Lending, Inc.
NSA	24.82	24.65	196300	National Storage Affiliates Trust
NSC	128.77	128.64	1894300	Norfolk Souther Corporation
FCB	47.1	46.55	333500	FCB Financial Holdings, Inc.
PBFX	20.5	20.3	36700	PBF Logistics LP
NSH	19.3	18.9	189900	Nustar GP Holdings, LLC
FCF	14.23	13.92	388300	First Commonwealth Financial Corporation
NSL	6.77	6.76	24200	Nuveen Senior Income Fund
NSM	19.2	19.11	393900	Nationstar Mortgage Holdings Inc.
NSP	93.1	92.7	110900	Insperity, Inc.
FCN	36.5	36.17	140100	FTI Consulting, Inc.
NSS	25.28	25.18	18500	NuStar Logistics, L.P.
FCT	13.33	13.31	79500	First Trust Senior Floating Rate Income Fund II
FCX	15.02	14.66	22915200	Freeport-McMoran, Inc.
COTV	34.8	34.8	165100	Cotiviti Holdings, Inc.
COTY	16.71	15.99	8238200	Coty Inc.
SOI	16.18	15.73	150300	Solaris Oilfield Infrastructure, Inc.
SOL	2.37	2.33	21300	Renesola Ltd.
SON	51.39	51.24	880300	Sonoco Products Company
SOR	40.81	40.75	12800	Source Capital, Inc.
AHC	4.49	4.45	27000	A.H. Belo Corporation
ADSW	24.58	24.43	194200	Advanced Disposal Services, Inc.
NDRO	4.1	4.05	40200	Enduro Royalty Trust
AHH	14.11	14.11	77400	Armada Hoffler Properties, Inc.
AHL	41.9	40.8	546100	Aspen Insurance Holdings Limited
AHP	10.04	9.97	244300	Ashford Hospitality Prime, Inc.
AHT	7.03	6.94	447800	Ashford Hospitality Trust Inc
NTB	36.22	35.46	162800	Bank of N.T. Butterfield & Son Limited (The)
NTC	12.17	12.17	28400	Nuveen Connecticut Quality Municipal Income Fund
FDC	18.03	17.89	6052100	First Data Corporation
NTG	17.69	17.51	124300	Tortoise MLP Fund, Inc.
HIFR	22.77	22.64	48100	InfraREIT, Inc.
NTL	39.99	39.97	1700	Nortel Inversora SA
NTP	12.5	12.2	69600	Nam Tai Property Inc.
FDP	46.91	46.05	143100	Fresh Del Monte Produce, Inc.
FDS	177.99	177.435	227900	FactSet Research Systems Inc.
NTX	14.68	14.68	6800	Nuveen Texas Quality Municipal Income Fund
NTZ	2	2	11900	Natuzzi, S.p.A.
FDX	221.01	219.81	1034000	FedEx Corporation
POST	86.97	86.1	362200	Post Holdings, Inc.
SPA	23.28	23.26	27100	Sparton Corporation
SPE	15.81	15.81	5500	Special Opportunities Fund Inc.
SPG	165.19	164.82	1366100	Simon Property Group, Inc.
SPH	26.58	26.21	212200	Suburban Propane Partners, L.P.
SPN	9.99	9.65	3099500	Superior Energy Services, Inc.
SPR	79.56	78.85	723600	Spirit Aerosystems Holdings, Inc.
AIC	24.5	24.5	2100	Arlington Asset Investment Corp
LCII	122.2	120.15	103400	LCI Industries
AIF	16.37	16.26	26900	Apollo Tactical Income Fund Inc.
AIG	63.85	63.47	5381700	American International Group, Inc.
ASGN	55.28	54.98	228000	On Assignment, Inc.
AIN	57.9	56.95	63100	Albany International Corporation
FCAU	17.49	17.29	2324300	Fiat Chrysler Automobiles N.V.
AIR	38.27	38.11	73300	AAR Corp.
AIT	64.15	63.7	130700	Applied Industrial Technologies, Inc.
AIV	44.17	44.05	802400	Apartment Investment and Management Company
AIY	25.9	25.83	33400	Apollo Investment Corporation
AIZ	96.32	95.85	506500	Assurant, Inc.
NUE	56.97	56.91	2107600	Nucor Corporation
NUM	13.67	13.66	27800	Nuveen Michigan Quality Municipal Income Fund
NUO	15.07	15.04	18300	Nuveen Ohio Quality Municipal Income Fund
FEO	16.93	16.92	12400	First Trust/Aberdeen Emerging Opportunity Fund
NUS	63.99	63.38	395800	Nu Skin Enterprises, Inc.
SPLP	18.3	18.2	7400	Steel Partners Holdings LP
NUV	10.3	10.27	224000	Nuveen AMT-Free Municipal Value Fund
NUW	17.43	17.32	37500	Nuveen AMT-Free Municipal Value Fund
FET	14	13.8	506300	Forum Energy Technologies, Inc.
SFUN	4.43	4.38	2382100	Fang Holdings Limited
KAI	100.3	98.55	43800	Kadant Inc
SQM	59.32	58.61	1936700	Sociedad Quimica y Minera S.A.
KAP	25.28	25.18	800	KCAP Financial, Inc.
KAR	47.98	47.7	679300	KAR Auction Services, Inc
AJG	62.22	61.71	603800	Arthur J. Gallagher & Co.
AJX	14.53	14.5	19200	Great Ajax Corp.
FFA	15.2	15.17	75400	First Trust
FFC	21.45	21.32	56500	Flaherty & Crumrine Preferred Securities Income Fund Inc
NVG	15.5	15.45	249300	Nuveen AMT-Free Municipal Credit Income Fund
TAHO	5.03	4.97	1425900	Tahoe Resources, Inc.
FFG	78.25	76.25	24500	FBL Financial Group, Inc.
NVO	48.91	48.797	1966500	Novo Nordisk A/S
NVR	2951.6	2898.19	20600	NVR, Inc.
NVS	85.85	85.76	1294500	Novartis AG
PGEM	16.95	16.65	75300	Ply Gem Holdings, Inc.
SRC	8.53	8.485	3981000	Spirit Realty Capital, Inc.
SRE	114.28	113.57	1121400	Sempra Energy
SRF	8.59	8.52	6000	Cushing Energy Income Fund (The)
SRG	44.15	43.24	592200	Seritage Growth Properties
SRI	22.17	22.08	133200	Stoneridge, Inc.
KBH	27.23	27.005	1617900	KB Home
SRT	11.93	11.7	24300	StarTek, Inc.
KBR	18.47	18.15	2262600	KBR, Inc.
SRV	12.02	11.82	22800	The Cushing MLP Total Return Fund
AKP	13.8	13.77	26800	Alliance California Municipal Income Fund Inc
AKR	30.22	30.22	349500	Acadia Realty Trust
ASIX	44.5	43.86	246000	AdvanSix Inc.
AKS	5.67	5.65	12515100	AK Steel Holding Corporation
FGB	7	6.88	62800	First Trust Specialty Finance and Financial Opportunities Fund
NWE	58.55	58.31	159100	NorthWestern Corporation
XNY	1.31	1.28	37400	China Xiniya Fashion Limited
NWL	42.49	41.83	4029700	Newell Brands Inc.
JONE	1.39	1.23	721600	Jones Energy, Inc.
NWN	65.5	65.3	75000	Northwest Natural Gas Company
FGL	31.2	31.1	201400	Fidelity and Guaranty Life
FGP	4.92	4.83	357300	Ferrellgas Partners, L.P.
NWY	2.02	1.99	243600	New York & Company, Inc.
SSD	49.7	49.435	249100	Simpson Manufacturing Company, Inc.
SSI	1.78	1.76	134700	Stage Stores, Inc.
GRP.U	40.64	40.31	3300	Granite Real Estate Inc.
SSL	29.14	28.9	214100	Sasol Ltd.
SSP	18.03	17.89	270600	E.W. Scripps Company (The)
ALB	140.5	138.89	1049200	Albemarle Corporation
ALE	78.16	77.58	167400	Allete, Inc.
SSW	7.32	7.28	1607300	Seaspan Corporation
ALG	109.67	107.52	46500	Alamo Group, Inc.
CLDR	15.3	15.17	1124800	Cloudera, Inc.
ALK	80.75	80.04	1150800	Alaska Air Group, Inc.
CLDT	22.15	22.03	139200	Chatham Lodging Trust (REIT)
ALL	92.46	91.12	3196800	Allstate Corporation (The)
WBAI	11.13	10.97	75200	500.com Limited
SCCO	43.5	42.71	711300	Southern Copper Corporation
ALV	125.42	124.75	410300	Autoliv, Inc.
XOM	82.63	82.54	6444100	Exxon Mobil Corporation
ALX	429.68	429.68	4200	Alexander's, Inc.
XON	17.81	17.77	735200	Intrexon Corporation
NXC	15.72	15.6	5500	Nuveen Insured California Select Tax-Free Income Portfolio
NXJ	13.86	13.82	80000	Nuveen New Jersey Quality Municipal Income Fund
NXN	14.12	14.02	3900	Nuveen Insured New York Select Tax-Free Income Portfolio
MATX	27.25	26.82	111400	Matson, Inc.
NXP	14.99	14.94	30400	Nuveen Select Tax Free Income Portfolio
FHN	19.35	18.9	3613500	First Horizon National Corporation
NXQ	14.21	14.12	13700	Nuveen Select Tax Free Income Portfolio II
NXR	15.12	15.09	14100	Nuveen Select Tax Free Income Portfolio III
BF.A	56.24	56.24	10100	Brown Forman Corporation
BF.B	55.24	55.24	506700	Brown Forman Corporation
FHY	13.54	13.52	36300	First Trust Strategic High Income Fund II
STC	37.8	37.5	44000	Stewart Information Services Corporation
STE	90.35	90.35	233500	STERIS plc
STI	60.01	59.11	2508900	SunTrust Banks, Inc.
STK	22.64	22.59	29300	Columbia Seligman Premium Technology Growth Fund, Inc
STL	24.6	24.1	1436600	Sterling Bancorp
STM	20.18	20.06	2919500	STMicroelectronics N.V.
STN	28.35	28.2	12800	Stantec Inc
STO	20.37	20.324	1837500	Statoil ASA
STT	98.64	97.065	1458000	State Street Corporation
AMC	13.85	13.6	1322700	AMC Entertainment Holdings, Inc.
AME	67.75	67.75	885200	AMTEK, Inc.
HSBC	49.19	48.95	1356900	HSBC Holdings plc
AMG	195.57	193.39	243000	Affiliated Managers Group, Inc.
STZ	210.11	209.87	2758600	Constellation Brands Inc
AMH	21.48	21.47	1495400	American Homes 4 Rent
AMN	42	41.74	258500	AMN Healthcare Services Inc
AMP	153.54	152.17	592800	AMERIPRISE FINANCIAL SERVICES, INC.
AMT	139.65	138.07	1393100	American Tower Corporation (REIT)
AMX	18.04	17.9	5991400	America Movil, S.A.B. de C.V.
XPO	66.67	64.58	1178500	XPO Logistics, Inc.
FIF	18.95	18.66	58700	First Trust Energy Infrastructure Fund
FIG	7.99	7.97	185800	Fortress Investment Group LLC
FII	31.69	30.96	815100	Federated Investors, Inc.
NYT	19.2	18.85	1614600	New York Times Company (The)
NYV	14.79	14.77	800	Nuveen New York Municipal Value Fund 2
FIS	95.24	94.13	963900	Fidelity National Information Services, Inc.
FIT	6.54	6.35	5191500	Fitbit, Inc.
